method,n,seed,episode,edge_count,optimal_edge_count,optimality_ratio,absolute_gap,exact_optimum,turan_isomorphic,constraint_violations,terminal_maximal,episode_length,inference_time_seconds,parameter_count,checkpoint
gnn,6,0,78,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,79,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,80,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,81,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,82,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,83,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,84,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,85,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,86,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,87,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,88,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,89,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,90,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,91,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,92,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,93,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,94,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,95,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
gnn,6,0,96,9,9,1.0,0,1,1,0,1,9,0.0006001816406353555,38337,runs/mvp-seed-0/best.pt
