method,n,seed,episode,feasible_decisions,mixed_group_states,unavoidable_alias_states,sum_bad_action_mass,sum_bad_mass_in_mixed_groups,chosen_bad_action,chosen_bad_in_mixed_group,first_loss_bad_mass,trajectory_has_mixed_group,trajectory_has_unavoidable_alias
candidate,14,4,5,49,6.0,0.0,0.5561966108216438,0.050752740527968854,0,0.0,,1.0,0.0
candidate,14,4,6,17,1.0,0.0,0.8952776314357607,0.013729860074818134,1,0.0,0.20853588404133916,1.0,0.0
candidate,14,4,7,49,9.0,0.0,0.6839286870890646,0.18190919441985898,0,0.0,,1.0,0.0
candidate,14,4,8,49,0.0,0.0,0.5268621029800897,0.0,0,0.0,,0.0,0.0
candidate,14,4,9,49,4.0,0.0,1.0017480052883911,0.10911230510100722,0,0.0,,1.0,0.0
candidate,24,4,0,9,2.0,0.0,0.03622796735726297,0.01364745618775487,1,0.0,0.01885237731039524,1.0,0.0
candidate,24,4,1,144,12.0,0.0,1.1135057615188089,0.18009402401003172,0,0.0,,1.0,0.0
candidate,24,4,2,144,27.0,0.0,2.3260023409438872,0.8519275526978163,0,0.0,,1.0,0.0
candidate,24,4,3,34,16.0,0.0,1.080303089544941,0.3006087411704357,1,1.0,0.0815411735093221,1.0,0.0
candidate,24,4,4,16,6.0,0.0,0.17218065852648579,0.11410696539678611,1,1.0,0.025802172283874825,1.0,0.0
candidate,24,4,5,24,15.0,0.0,0.8288149605208446,0.48203210958308773,1,0.0,0.22000800589864866,1.0,0.0
candidate,24,4,6,19,9.0,0.0,0.9229161018738523,0.7499993752571754,1,0.0,0.19525674352189526,1.0,0.0
candidate,24,4,7,15,7.0,0.0,0.15639891003957018,0.1343460264033638,1,1.0,0.04887355800019577,1.0,0.0
candidate,24,4,8,20,10.0,0.0,0.31642621711216634,0.20117013833805686,1,1.0,0.023482208081986755,1.0,0.0
candidate,24,4,9,17,4.0,0.0,0.048877419147174805,0.04097436694428325,1,1.0,0.007856762007577345,1.0,0.0
candidate,40,4,0,31,16.0,0.0,1.6487527384306304,1.1148779758659657,1,0.0,0.2628329999570269,1.0,0.0
candidate,40,4,1,32,12.0,0.0,0.6181771128212858,0.15729672172892606,1,1.0,0.041052864402445266,1.0,0.0
candidate,40,4,2,17,3.0,0.0,0.012625202536582947,0.012625202536582947,1,1.0,0.004115656483918428,1.0,0.0
candidate,40,4,3,28,18.0,0.0,1.105471275790478,0.7418241669802228,1,1.0,0.18025378791207913,1.0,0.0
candidate,40,4,4,29,18.0,0.0,0.6770278879048419,0.4210075292212423,1,1.0,0.0785526737672626,1.0,0.0
candidate,40,4,5,28,12.0,0.0,0.7021448486193549,0.3605209125089459,1,1.0,0.15623962180688977,1.0,0.0
candidate,40,4,6,23,9.0,0.0,0.43747897128923796,0.3121092304645572,1,1.0,0.09983728040242568,1.0,0.0
candidate,40,4,7,47,32.0,0.0,1.0336613472976524,0.7562739039898361,1,1.0,0.14850284461374486,1.0,0.0
