record_id,graph_sha256,graph_reference,outcome,method,n,seed,episode
candidate/s1/n14/e3,72aec8114152c2381397ef5867c7a14dba51c5f27dbd88dc8e60d77902d99e76,study/artifacts/evaluation/candidate/seed-1/n-14/chunk-000000.json.gz,nonbipartite,candidate,14,1,3
candidate/s1/n15/e0,a3c3612d899473f0b3b48dda29251923597dbbbfee8df4496afbc719eac5e265,study/artifacts/evaluation/candidate/seed-1/n-15/chunk-000000.json.gz,exact,candidate,15,1,0
candidate/s1/n15/e8,89595251d4cd8d40fdeaa2fef41829846b28bedf23b77e9d57ee9665676aecec,study/artifacts/evaluation/candidate/seed-1/n-15/chunk-000000.json.gz,nonbipartite,candidate,15,1,8
candidate/s1/n15/e34,36fbcddc9c46762d7693823d56574b9a012b7caee121c80d6fe1f5d999233186,study/artifacts/evaluation/candidate/seed-1/n-15/chunk-000032.json.gz,unbalanced_bipartite,candidate,15,1,34
candidate/s1/n16/e0,fc1fd18e811db9fff59d3fec93a0e39b9882d77e502fc15089028e36f5d0397b,study/artifacts/evaluation/candidate/seed-1/n-16/chunk-000000.json.gz,unbalanced_bipartite,candidate,16,1,0
candidate/s1/n16/e1,2af4f243d79654a24f952066499a29a8b13b91b5197bf85cebda1b6beeae144b,study/artifacts/evaluation/candidate/seed-1/n-16/chunk-000000.json.gz,exact,candidate,16,1,1
candidate/s1/n16/e4,c0d397cc339637be9fe979622a039631b9d1160af760d583ecb3296c7ce47809,study/artifacts/evaluation/candidate/seed-1/n-16/chunk-000000.json.gz,nonbipartite,candidate,16,1,4
candidate/s1/n17/e0,6c3503eb4709916b5754bc84775812f1583e5f37c0ed1da3812d3513ec4a2dc0,study/artifacts/evaluation/candidate/seed-1/n-17/chunk-000000.json.gz,exact,candidate,17,1,0
candidate/s1/n17/e1,d616d9edc184da294ec97e7906d5394940acdc694959d31af23b45afeb6a79c1,study/artifacts/evaluation/candidate/seed-1/n-17/chunk-000000.json.gz,nonbipartite,candidate,17,1,1
candidate/s1/n17/e35,24b009b1aaae8389f9ab286b2fafa8faceaece60bcb67503cc999d4a89ae5dfe,study/artifacts/evaluation/candidate/seed-1/n-17/chunk-000032.json.gz,unbalanced_bipartite,candidate,17,1,35
candidate/s1/n20/e0,fa1137d42e340b94cb63116cdc3991a74b72390c5c98b6d06e23fab087cc062f,study/artifacts/evaluation/candidate/seed-1/n-20/chunk-000000.json.gz,exact,candidate,20,1,0
candidate/s1/n20/e1,555d0096ab3494550515f74bca93e66a783801c4b25974f697e56b4f1ecf8655,study/artifacts/evaluation/candidate/seed-1/n-20/chunk-000000.json.gz,nonbipartite,candidate,20,1,1
candidate/s1/n20/e4,1b563b77d0b8c4a60df436d15a556c47f1e1dff15b132fb1a29f5ad0e4807b96,study/artifacts/evaluation/candidate/seed-1/n-20/chunk-000000.json.gz,unbalanced_bipartite,candidate,20,1,4
candidate/s1/n23/e0,a3a8feae870a6bec87648df7085c2bcd4d90883b4f103438160e8eb22f137ead,study/artifacts/evaluation/candidate/seed-1/n-23/chunk-000000.json.gz,unbalanced_bipartite,candidate,23,1,0
candidate/s1/n23/e2,f32b844fcbdca8640dcff11a320b25a380c83c3435e37766d43a895b8df3f1cc,study/artifacts/evaluation/candidate/seed-1/n-23/chunk-000000.json.gz,exact,candidate,23,1,2
candidate/s1/n23/e3,a58cfd8093759fe868184730d60e01e716534ae7a4e8d50ceb90b43a21938c60,study/artifacts/evaluation/candidate/seed-1/n-23/chunk-000000.json.gz,nonbipartite,candidate,23,1,3
candidate/s1/n24/e0,28c631597a384b39789bc10e32ffcb4f4a3a4939a6d08938f73e2ca77b44503d,study/artifacts/evaluation/candidate/seed-1/n-24/chunk-000000.json.gz,nonbipartite,candidate,24,1,0
candidate/s1/n24/e1,581fc0bf44ae96de7901631527b120e74b0a6af9776e0de0072ce715d9aafdc0,study/artifacts/evaluation/candidate/seed-1/n-24/chunk-000000.json.gz,unbalanced_bipartite,candidate,24,1,1
candidate/s1/n24/e6,3e9cdb6fb475d20c300fbd8fa73763020cfd0a509074cd2ea903eb5542101020,study/artifacts/evaluation/candidate/seed-1/n-24/chunk-000000.json.gz,exact,candidate,24,1,6
candidate/s1/n25/e0,fa65d30cb3bbba6a676a0b630645b7b6f698a6bbd400a073aa5c251610c3b95b,study/artifacts/evaluation/candidate/seed-1/n-25/chunk-000000.json.gz,exact,candidate,25,1,0
candidate/s1/n25/e2,1b3c16b22e4e96b33648bd67073e41ac9b79727162d6fae7c36e1b11a42e9d4f,study/artifacts/evaluation/candidate/seed-1/n-25/chunk-000000.json.gz,nonbipartite,candidate,25,1,2
candidate/s1/n25/e37,d40c84b673167601396d6f419da713dbc67103bb159754dce34bfb39f74d2061,study/artifacts/evaluation/candidate/seed-1/n-25/chunk-000032.json.gz,unbalanced_bipartite,candidate,25,1,37
candidate/s1/n30/e0,aecda8f9bbf4d0a1e123affd2365bb2e519f2d576d06f8321e619be3b5cc9068,study/artifacts/evaluation/candidate/seed-1/n-30/chunk-000000.json.gz,nonbipartite,candidate,30,1,0
candidate/s1/n30/e3,0beb4f59198f7390bd93bb90cd1731a1195fc3e621876f3589670c40a4ee69e3,study/artifacts/evaluation/candidate/seed-1/n-30/chunk-000000.json.gz,unbalanced_bipartite,candidate,30,1,3
candidate/s1/n30/e6,176ec47d57dd4efd6cda1ce4e56fb6add0d46af70b70fa9601ba4f2093ad9ec1,study/artifacts/evaluation/candidate/seed-1/n-30/chunk-000000.json.gz,exact,candidate,30,1,6
candidate/s1/n40/e0,753fd4c1a4041c3697820e15de7b3d5f0d360b90e176b533531a63630675ee18,study/artifacts/evaluation/candidate/seed-1/n-40/chunk-000000.json.gz,nonbipartite,candidate,40,1,0
candidate/s1/n40/e42,dad17fedcdceb425c1e45041a42f426e07f82ea1384b45f8a36b4a9b25c43539,study/artifacts/evaluation/candidate/seed-1/n-40/chunk-000032.json.gz,unbalanced_bipartite,candidate,40,1,42
candidate/s1/n40/e59,c342c3eee250252b66913c79d4a1d99eb3b13d3e719bc9c0914c22362f91192a,study/artifacts/evaluation/candidate/seed-1/n-40/chunk-000032.json.gz,exact,candidate,40,1,59
candidate/s1/n6/e0,c5af337883d203b71c32392447c9d4bf463e1e6ff5f09e1b5be4b4c34f2cd98b,study/artifacts/evaluation/candidate/seed-1/n-6/chunk-000000.json.gz,exact,candidate,6,1,0
