method,n,seed,optimality_ratio,exact_optimum,absolute_gap,inference_time_seconds,first_loss_step,first_odd_cycle_step,parameter_count,exact_rate,unbalanced_bipartite_rate,nonbipartite_rate,odd_cycle_first_loss_rate,partition_imbalance_first_loss_rate
gnn_parity,15,1,1.0,1.0,0.0,0.010404104589997529,,,38337.0,1.0,0.0,0.0,0.0,0.0
gnn_parity,15,2,1.0,1.0,0.0,0.011855530820012037,,,38337.0,1.0,0.0,0.0,0.0,0.0
gnn_parity,15,3,1.0,1.0,0.0,0.012226142920026136,,,38337.0,1.0,0.0,0.0,0.0,0.0
gnn_parity,15,4,1.0,1.0,0.0,0.012369832499989509,,,38337.0,1.0,0.0,0.0,0.0,0.0
gnn_parity,24,0,0.9984027777777778,0.77,0.23,0.05850130668002741,86.0,,38337.0,0.77,0.23,0.0,0.0,0.23
gnn_parity,24,1,0.9999305555555555,0.99,0.01,0.05970619626001275,24.0,,38337.0,0.99,0.01,0.0,0.0,0.01
gnn_parity,24,2,0.9996527777777777,0.95,0.05,0.0632380779100276,19.0,,38337.0,0.95,0.05,0.0,0.0,0.05
gnn_parity,24,3,0.9988888888888888,0.84,0.16,0.0675390370800232,132.1875,,38337.0,0.84,0.16,0.0,0.0,0.16
gnn_parity,24,4,0.9991666666666668,0.88,0.12,0.06942557291999031,107.0,,38337.0,0.88,0.12,0.0,0.0,0.12
gnn_parity,30,0,0.9985777777777778,0.71,0.32,0.14015732749001467,142.75862068965517,,38337.0,0.71,0.29,0.0,0.0,0.29
gnn_parity,30,1,0.9998666666666667,0.97,0.03,0.14503809749996432,34.666666666666664,,38337.0,0.97,0.03,0.0,0.0,0.03
gnn_parity,30,2,0.9998666666666667,0.97,0.03,0.15158053666002155,25.333333333333332,,38337.0,0.97,0.03,0.0,0.0,0.03
gnn_parity,30,3,0.9991111111111111,0.8,0.2,0.16082445498999726,208.2,,38337.0,0.8,0.2,0.0,0.0,0.2
gnn_parity,30,4,0.9990222222222223,0.78,0.22,0.16841310374000382,174.86363636363637,,38337.0,0.78,0.22,0.0,0.0,0.22
gnn_parity,40,0,0.9995,0.8,0.2,0.4611982800000078,173.75,,38337.0,0.8,0.2,0.0,0.0,0.2
gnn_parity,40,1,0.999825,0.93,0.07,0.46770069876001796,147.57142857142858,,38337.0,0.93,0.07,0.0,0.0,0.07
gnn_parity,40,2,0.9997499999999999,0.9,0.1,0.48371732041998255,34.8,,38337.0,0.9,0.1,0.0,0.0,0.1
gnn_parity,40,3,0.9993000000000001,0.72,0.28,0.513013685010028,371.7142857142857,,38337.0,0.72,0.28,0.0,0.0,0.28
gnn_parity,40,4,0.9992,0.68,0.32,0.5259953033300008,310.59375,,38337.0,0.68,0.32,0.0,0.0,0.32
uniform_parity,15,0,0.9857142857142857,0.71,0.8,0.012484407500014581,16.17241379310345,,0.0,0.71,0.29,0.0,0.0,0.29
uniform_parity,15,1,0.9867857142857143,0.67,0.74,0.010873438750022573,15.909090909090908,,0.0,0.67,0.33,0.0,0.0,0.33
uniform_parity,15,2,0.9860714285714286,0.69,0.78,0.010437435009971472,16.516129032258064,,0.0,0.69,0.31,0.0,0.0,0.31
uniform_parity,15,3,0.9867857142857143,0.65,0.74,0.010957012489998268,17.285714285714285,,0.0,0.65,0.35,0.0,0.0,0.35
uniform_parity,15,4,0.9882142857142857,0.73,0.66,0.011353505829993046,16.185185185185187,,0.0,0.73,0.27,0.0,0.0,0.27
uniform_parity,24,0,0.9902777777777777,0.34,1.4,0.06951229291998966,28.045454545454547,,0.0,0.34,0.66,0.0,0.0,0.66
uniform_parity,24,1,0.9899305555555555,0.4,1.45,0.0633338879100119,27.316666666666666,,0.0,0.4,0.6,0.0,0.0,0.6
uniform_parity,24,2,0.988125,0.34,1.71,0.0647577274999821,27.757575757575758,,0.0,0.34,0.66,0.0,0.0,0.66
uniform_parity,24,3,0.98875,0.2,1.62,0.06253585958998877,27.0125,,0.0,0.2,0.8,0.0,0.0,0.8
uniform_parity,24,4,0.9880555555555556,0.32,1.72,0.0678635341800327,26.88235294117647,,0.0,0.32,0.68,0.0,0.0,0.68
uniform_parity,30,0,0.9919111111111111,0.33,1.82,0.15268595790999823,34.8955223880597,,0.0,0.33,0.67,0.0,0.0,0.67
uniform_parity,30,1,0.9897777777777778,0.23,2.3,0.14911884791999908,34.94805194805195,,0.0,0.23,0.77,0.0,0.0,0.77
uniform_parity,30,2,0.9906222222222223,0.27,2.11,0.15087650999999816,35.794520547945204,,0.0,0.27,0.73,0.0,0.0,0.73
uniform_parity,30,3,0.9920888888888889,0.33,1.78,0.15263451292998068,34.582089552238806,,0.0,0.33,0.67,0.0,0.0,0.67
uniform_parity,30,4,0.9910666666666667,0.29,2.01,0.1516514208399894,34.45070422535211,,0.0,0.29,0.71,0.0,0.0,0.71
uniform_parity,40,0,0.99175,0.16,3.3,0.4769967333300156,49.166666666666664,,0.0,0.16,0.84,0.0,0.0,0.84
uniform_parity,40,1,0.9937,0.24,2.52,0.4722625199999857,49.0,,0.0,0.24,0.76,0.0,0.0,0.76
uniform_parity,40,2,0.9924250000000001,0.27,3.03,0.4721424783399925,48.945205479452056,,0.0,0.27,0.73,0.0,0.0,0.73
uniform_parity,40,3,0.9954500000000001,0.32,1.82,0.4760921291600061,49.0735294117647,,0.0,0.32,0.68,0.0,0.0,0.68
uniform_parity,40,4,0.994425,0.21,2.23,0.49434069414999615,50.392405063291136,,0.0,0.21,0.79,0.0,0.0,0.79
