n,comparison,metric,difference,ci95_low,ci95_high,seed_differences,planned_role,interval_note
30,gnn_parity - balance_parity,absolute_gap,0.16,0.0022060483616969384,0.31779395163830304,"[0.32, 0.03, 0.03, 0.2, 0.22]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
30,gnn_parity - uniform_parity,exact_optimum,0.556,0.36232429590598525,0.7496757040940148,"[0.37999999999999995, 0.74, 0.7, 0.47000000000000003, 0.49000000000000005]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
30,gnn_parity - uniform_parity,optimality_ratio,0.008195555555555557,0.006390151832877687,0.010000959278233426,"[0.00666666666666671, 0.010088888888888925, 0.009244444444444389, 0.007022222222222152, 0.007955555555555605]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
30,gnn_parity - uniform_parity,absolute_gap,-1.8439999999999999,-2.2502158376025196,-1.4377841623974799,"[-1.5, -2.27, -2.08, -1.58, -1.7899999999999998]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
40,gnn_parity - endpoint_parity,exact_optimum,0.308,0.11061837960012177,0.5053816203998782,"[0.55, 0.20000000000000007, 0.39, 0.21999999999999997, 0.18000000000000005]",primary,Five paired seed means; secondary intervals unadjusted for multiplicity
40,gnn_parity - endpoint_parity,optimality_ratio,0.0016599999999999727,0.00021872009516154547,0.0031012799048383997,"[0.003574999999999995, 0.0005749999999999922, 0.0016249999999998765, 0.0009250000000000647, 0.0015999999999999348]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
40,gnn_parity - endpoint_parity,absolute_gap,-0.664,-1.2405119619353753,-0.0874880380646248,"[-1.43, -0.22999999999999998, -0.65, -0.37, -0.6399999999999999]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
40,gnn_parity - candidate_parity,exact_optimum,0.446,0.3601544006043348,0.5318455993956652,"[0.4, 0.55, 0.48000000000000004, 0.37999999999999995, 0.42000000000000004]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
40,gnn_parity - candidate_parity,optimality_ratio,0.002075000000000005,0.001813438829579443,0.0023365611704205666,"[0.0019500000000001183, 0.0021999999999999797, 0.0021499999999998742, 0.001775000000000082, 0.0022999999999999687]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
40,gnn_parity - candidate_parity,absolute_gap,-0.8300000000000001,-0.9346244681682592,-0.725375531831741,"[-0.78, -0.8799999999999999, -0.86, -0.71, -0.9199999999999999]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
40,gnn_parity - balance_parity,exact_optimum,-0.19399999999999998,-0.32933567997794266,-0.05866432002205729,"[-0.19999999999999996, -0.06999999999999995, -0.09999999999999998, -0.28, -0.31999999999999995]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
40,gnn_parity - balance_parity,optimality_ratio,-0.0004850000000000021,-0.000823339199944812,-0.0001466608000551922,"[-0.0004999999999999449, -0.00017500000000003624, -0.0002500000000000835, -0.0006999999999999229, -0.0008000000000000229]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
40,gnn_parity - balance_parity,absolute_gap,0.194,0.05866432002205732,0.32933567997794266,"[0.2, 0.07, 0.1, 0.28, 0.32]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
40,gnn_parity - uniform_parity,exact_optimum,0.5660000000000001,0.4117635388604963,0.7202364611395038,"[0.64, 0.6900000000000001, 0.63, 0.39999999999999997, 0.4700000000000001]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
40,gnn_parity - uniform_parity,optimality_ratio,0.005964999999999954,0.003910547874025741,0.008019452125974167,"[0.007750000000000035, 0.006124999999999936, 0.007324999999999804, 0.00385000000000002, 0.004774999999999974]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
40,gnn_parity - uniform_parity,absolute_gap,-2.386,-3.2077808503897023,-1.5642191496102982,"[-3.0999999999999996, -2.45, -2.9299999999999997, -1.54, -1.91]",secondary_exploratory,Five paired seed means; secondary intervals unadjusted for multiplicity
